name,gender
Diane Keaton,f
Amira Casar,f
Andy Serkis,m
Masayuki Mori,m
Chris O'Dowd,m
David Morse,m
Mauro Vestri,m
Norman Lloyd,m
Paul McCrane,m
Torin Thatcher,m
Guy Torry,m
Embeth Davidtz,f
Patricia Hitchcock,f
Lawrence Tierney,m
Lurene Tuttle,f
Jerry Vale,m
Paul Préboist,m
Eric Stoltz,m
Daryl Hannah,f
Thomas Solivéres,m
Hedda Hopper,f
Philip Stone,m
Sean Astin,m
Agnese Nano,f
John Rhys-Davies,m
Buster Keaton,m
Eddie Byrne,m
Akemi Yamaguchi,f
Alec Guinness,m
Helena Bonham Carter,f
Giuseppe Andrews,m
Giovanni Storti,m
Will Hare,m
Gastone Moschin,m
Michael Conner Humphreys,m
Vincent Fafard,m
Anupam Kher,m
Talia Shire,f
Ingrid Oliver,f
Jean Luisi,m
Gabriel Byrne,m
Randy Brooks,m
Kuniko Miyake,f
Elizabeth McGovern,f
Adolphe Menjou,m
Yoshiko Shinohara,f
David Wenham,m
Marlon Brando,m
Ian Holm,m
Quentin Tarantino,m
Tim Roth,m
Jerome Flynn,m
Max Mauff,m
Ellen Burstyn,f
Selton Mello,m
Mark Boone Junior,m
Olga Karlatos,f
Darrell Britt-Gibson,m
Christopher Lloyd,m
Alfonso Freeman,m
Erich von Stroheim,m
Henry Bergman,m
André Aciman,m
Leoda Richards,f
Andy Serkis,m
Jason Bose Smith,m
Atsushi Watanabe,m
Mike Chute,m
Jack Klugman,m
Paul McGann,m
Guenièvre Sandré,f
Eréndira Ibarra,f
Bill Nunn,m
Dana Ashbrook,m
Viggo Mortensen,m
Scatman Crothers,m
Wolfgang Hillinger,m
Clark Gregg,m
William Sadler,m
Leon Pownall,m
Lara Flynn Boyle,f
John Anderson,m
Tamio Ohki,m
Sylvain Lazard,m
Sara Berner,f
Dylan Kussman,m
Michèle Lituac,f
Elsa Raven,f
Wendell Corey,m
Morgana King,f
Gastone Moschin,m
Eitarô Ozawa,m
Zeljko Ivanek,m
Daniel C. Striepeke,m
Nino Manfredi,m
Maria de Medeiros,f
Al Mulock,m
Tatsuya Gashûin,f
Isao Kimura,m
Kichijirô Ueda,m
Steve Buscemi,m
Quentin Tarantino,m
Dolores Heredia,f
Fabio Testi,m
Charlie Chaplin,m
Nobuo Nakamura,m
Jorja Fox,f
Cristen Kauffman,f
Suzanne Clément,f
Josh Charles,m
James A Hughes,m
Matt Smith,m
Norbert Weisser,m
Haruko Sugimura,f
Louis C.K.,m
Gianni Russo,m
Jack Elam,m
Richard Bright,m
Karl Urban,m
Leonardo DiCaprio,m
Jerry Hausner,m
Craig Parker,m
Ted Markland,m
Lukas Haas,m
Elijah Wood,m
Jack Fulton,m
