name,gender
Clay A. Griffith,m
Thomas Newman,m
Kearie Peak,f
Kenneth Utt,m
Geoffrey Patterson,m
Vicky Herman,f
Paul Hirsch,m
John Seale,m
Haskell Wexler,m
William Tyrer,m
Camillo Mastrocinque,m
Kenji Mizoguchi,m
Art Linson,m
Oriol Paulo,m
Agatha Christie,f
Dan Weil,m
Lawrence Bender,m
Vittorio De Sica,m
Kogo Noda,m
Doug Cooper,m
Clyde Bruckman,m
Charlie Chaplin,m
Jean Becker,m
Andrew Lowe,m
George Lucas,m
Louise Mingenbach,f
Fumio Hayasaka,m
James Ivory,m
Christopher Nolan,m
Ray Moyer,m
Charles D. Hall,m
Gerald Fried,m
John Howe,m
Robin D. Cook,f
Antonio Pinto,m
John Howe,m
Andrew Kevin Walker,m
Sharmishta Roy,f
Charles Brackett,m
Leslie Dilley,m
Alfred Hitchcock,m
Emma Thomas,f
Kevin Sullivan,m
Akira Kurosawa,m
Lynzee Klingman,f
Ngila Dickson,f
Jennifer Todd,f
Janusz Kamiński,m
Suzanne Todd,f
John Mollo,m
Sergio Leone,m
Gary Wissner,m
William Russell,m
Steven Moffat,m
Louis C.K.,m
Jacques Becker,m
Serge Silberman,m
Charles D. Hall,m
Pascal Chaumeil,m
Sharon Boyle,f
Isao Takahata,m
Richard Taylor,m
Evan Hunter,m
Roger Avary,m
Irvin Kershner,m
Buster Keaton,m
Carter DeHaven,m
Mitsuhisa Ishikawa,m
Toshio Suzuki,m
Alfred Hitchcock,m
Peter Jackson,m
Carl Lerner,m
J. Russell Spencer,m
James C. Katz,m
Manmohan Singh,m
Fred T. Gallo,m
Tom Cross,m
Jack Keller,m
Gordon Willis,m
Sergio Leone,m
Dean Cundey,m
Mario Puzo,m
Laray Mayfield,f
Michelle Lannon,f
David Lynch,m
Hideaki Anno,m
Mark Livolsi,m
Albert Austin,m
Robert Benmussa,m
Alan Heim,m
Jesper Kyd,m
David Wasco,m
Jane Feinberg,f
J. Michael Straczynski,m
Alfred Hitchcock,m
Betsy Heimann,f
Michael Lynne,m
John Michael Hayes,m
John Landis,m
Zach Staenberg,m
Kerry Barden,m
Ellen Lewis,f
Leigh Brackett,f
Don Burgess,m
Wally Pfister,m
Anna B. Sheppard,f
Louis C.K.,m
Carmine Coppola,m
Martin McDonagh,m
Benjamin Melniker,m
Monique Prudhomme,f
Lynda Obst,f
Kathleen Kennedy,f
Roland Totheroh,m
Hans Dreier,m
Kirk Douglas,m
Jane Feinberg,f
Dario Argento,m
Carlo Simi,m
Quentin Tarantino,m
Michael Ford,m
Tony Kaye,m
Paulo Lins,m
Howard Shore,m
Andrew Stanton,m
Quentin Tarantino,m
Irwin Winkler,m
Robert Burks,m
Fran Walsh,f
John Toll,m
Jan Harlan,m
Ronna B. Wallace,f
Richard Francis-Bruce,m
Gary Kurtz,m
Steven Moffat,m
Edith Head,f
J.R.R. Tolkien,m
Ronnie Yeskel,f
Luca Guadagnino,m
Frank Darabont,m
John Morrissey,m
James Haygood,m
Akira Kurosawa,m
Richard Chew,m
Tôru Takemitsu,m
Lawrence Kasdan,m
Larry Germain,m
Steven Moffat,m
Wally Westmore,m
Louis C.K.,m
George Lucas,m
Carl Theodor Dreyer,m
Martin McDonagh,m
Richard Francis-Bruce,m
Sergio Leone,m
Kevin De La Noy,m
J. Russell Spencer,m
Peter Spears,m
Akira Kurosawa,m
Michael Ballhaus,m
Akira Kurosawa,m
Gordon Willis,m
Charlie Chaplin,m
Suso Cecchi d'Amico,f
Michael Shamberg,m
Carl Theodor Dreyer,m
Kara Eide,f
J.R.R. Tolkien,m
Charlie Chaplin,m
Peter Jackson,m
Saul Zaentz,m
Mark Gatiss,m
Tim Galvin,m
Hugh Jackman,m
Arnold Kopelson,m
Robert Bloch,m
Monte Hellman,m
Andrea Barata Ribeiro,f
Yasuyoshi Tokuma,m
Henry Bergman,m
Yasuo Uragami,m
Asakazu Nakai,m
Celestia Fox,f
Roger Deakins,m
Robert Ward,m
David Lynch,m
Mirela Rupic,f
Ilona Herman,f
Xavier Dolan,m
John Davis,m
Alfred Hitchcock,m
Chuck Palahniuk,m
John Cope,m
Hans Zimmer,m
Bernard Herrmann,m
John Williams,m
Danilo Donati,m
Sara Andrews,f
Michael Kaplan,m
Lea Carlson,f
Leslie Dilley,m
Nino Baragli,m
Steven Zaillian,m
Luc Besson,m
Thelma Schoonmaker,f
Charlie Chaplin,m
Grant Major,m
George Lucas,m
Carlo Simi,m
Hideo Oguni,m
Philippa Boyens,f
Wally Westmore,m
Lawrence B. Marcus,m
Hayao Miyazaki,m
Ira H. Morgan,m
Carlo Rustichelli,m
Robert Jones,m
Karyn Wagner,f
Eugenio Alabiso,m
Furio Scarpelli,m
C.O. Erickson,m
Masaichi Nagata,m
Wally Pfister,m
Bryan Singer,m
Alfred Hitchcock,m
Ettore Scola,m
Stanley Kubrick,m
Alex McDowell,m
Luca Guadagnino,m
Yoshifumi Kondou,m
Carlo Simi,m
Michiyo Yasuda,f
Daniel Mandell,m
George Justin,m
Melissa Toth,f
Yukihiro Shibutani,m
Xavier Dolan,m
Pierre Boileau,m
Franz Waxman,m
Joseph A. Mitchell,m
Christopher Nolan,m
Jane Feinberg,f
Lelio Luttazzi,m
Tom Schulman,m
Eric Sundahl,m
Charlie Chaplin,m
Steve Gehrke,m
Charles Collum,m
Mario Puzo,m
Hilton A. Green,m
Roland Totheroh,m
Elgin Lessley,m
Rick Carter,m
Jason Reitman,m
Jasmine McGlade,f
Martin Müller,m
Jeanette Brill,f
Alan Tomkins,m
Roman Polanski,m
Christopher Nolan,m
Park Chan-wook,m
Irene Lamb,f
Sam Comer,m
Damien Chazelle,m
Mali Finn,f
David Fincher,m
Louis Craig,m
Richard Marks,m
Ronald Víctor García,m
Allan Starski,m
Boris Kaufman,m
Suzanne Smith,f
Ted Tally,m
Bryan Singer,m
Emma Thomas,f
Hans Zimmer,m
Asakazu Nakai,m
Maurice Jarre,m
Steven Spielberg,m
