name,gender
Darin Scott,m
Doug Davison,m
John Refoua,m
Rodney Liber,m
Tiffany Little Canfield,f
Walt Disney,m
Richard D. Zanuck,m
Tim Bevan,m
Dariusz Wolski,m
Wayne Kramer,m
Anthony Ianni,m
Marion Dougherty,f
Mary McLaglen,f
Frank Thomas,m
Robert Harris,m
Alan Robert Murray,m
John Powell,m
Nancy Haigh,f
Crispian Sallis,m
Ben Karlin,m
Pedro Almodóvar,m
Jerry Weintraub,m
Miriam Brickman,f
Dietrich Lohmann,m
Martin Elfand,m
Matt Maddox,m
Steven Soderbergh,m
Tucker Tooley,m
Molly Conners,f
Paul Attanasio,m
Dan Weil,m
Tish Monaghan,f
Leonard Cohen,m
Jean-Baptiste Dupont,m
Robert Folk,m
John Lasseter,m
Brian Avery,m
David Carbonara,m
Joe Fisher,m
Erich Maria Remarque,m
Dan Mazer,m
Benito Pérez Galdós,m
Leonard Ho,m
Leigh Brackett,f
Lisa Azuelos,f
Sean Daniel,m
Mary Jane Fort,f
Gilbert Taylor,m
Daniele Luchetti,m
Pamela Withers,f
Mel Bourne,m
Deena Appel,f
Lydia Marks,f
Gene Stupnitsky,m
Moustapha Akkad,m
Jean-Marie Poiré,m
Robin D. Cook,f
Robert Zemeckis,m
George Watters,m
Tom Rosenberg,m
Scott Hecker,m
Robert Leighton,m
Matt Tolmach,m
Vadim Yusov,m
Jeff Betancourt,m
Denise Chamian,f
Mark Gill,m
Charles Le Maire,m
Hilton A. Green,m
Louis DiGiaimo,m
Anthony Bregman,m
E.T.A. Hoffmann,m
Anthony Ianni,m
Avram Butch Kaplan,m
Brad Krevoy,m
Tracy McKnight,f
Michael O'Connor,m
Gabriel Beristain,m
Jan Kiesser,m
Peter Aalbæk Jensen,m
Barry Mendel,m
Andrew Stanton,m
David Benullo,m
Edward Zwick,m
Owen Hurley,m
Walter M. Scott,m
Joyce Nettles,f
Stephen A. Rotter,m
Eddie Hamilton,m
Nancy Deren,f
Dan Janvey,m
Cinco Paul,m
John Williams,m
Pierce Brosnan,m
Fred Dekker,m
John Rowley,m
Frank Marshall,m
Bill Borden,m
Takashi Shimizu,m
Pino Donaggio,m
Everett Creach,m
Ray Fisher,m
Richard S. Wright,m
Eric Altmayer,m
Colin Firth,m
Alexandre Desplat,m
Vicky Jenson,f
Chris Gorak,m
Takeshi Kitano,m
Brooke Bennett,f
Julie Kirkwood,f
Herbert Coleman,m
Richard Hoover,m
Garry Marshall,m
Keith Barish,m
Amy Marshall,f
Michael Corenblith,m
Brian Grazer,m
Jon Brion,m
Raúl Lavista,m
Steve Starkey,m
Claire Rudnick Polstein,f
Susan Shilliday,f
Elizabeth Haffenden,f
Gary Michael Walters,m
Coreen Mayrs,f
Peter Weir,m
Genevieve Tyrrell,f
Martin Childs,m
Jay Baruchel,m
William A. Graham,m
Simon Duggan,m
Stefan Fjeldmark,m
S. S. Wilson,m
Verna Fields,m
Frank Herbert,m
Jean-Louis Richard,m
Elie Samaha,m
Alain Berbérian,m
Nathan Kahane,m
Glen Basner,m
Dax Shepard,m
Frank McCoy,m
Ruth Morley,f
Thierry Arbogast,m
Sammo Hung,m
David Broekman,m
Marianne Stanicheva,f
Sebastian Schroder,m
Doug Kraner,m
Lorenzo di Bonaventura,m
James Ashmore Creelman,m
Neil Burger,m
Stephen Hopkins,m
Eric Altmayer,m
Michael Levy,m
Kathleen Kennedy,f
Robert Dawn,m
H.P. Lovecraft,m
Marc Shaiman,m
Roger Mattiussi,m
Deborah Aquila,f
Adolph Green,m
James Horner,m
Boaz Yakin,m
John Gatins,m
Annie Mumolo,f
Joseph M. Caracciolo,m
Hiroyuki Kobayashi,m
Tarsem Singh,m
Michael N. Knue,m
Robert D. Yeoman,m
Alex Nepomniaschy,m
Roberto Orci,m
J.J. Abrams,m
Andrew Dunn,m
Emma Field-Rayner,f
Idris Elba,m
Takahiro Omori,m
Erik Wilson,m
Ernest Haller,m
Billy Ray,m
Anthony Carras,m
Denise Chamian,f
Claudio Miranda,m
Eric Kissack,m
Janice Williams,f
Robert Mandel,m
Randall Poster,m
Kristen Toscano Messina,f
Josann McGibbon,f
Ben Lewin,m
Hou Hsiao-hsien,m
Celestia Fox,f
Krzysztof Kieślowski,m
Deborah Lynn Scott,f
Michael Tronick,m
John Barry,m
Greg Glienna,m
Randy Newman,m
Denise Chamian,f
Yôji Yamada,m
David Laubsch,m
Audrey Ellis Fox,f
John Dunn,m
Eric Darnell,m
Jérôme Salle,m
Hideo Nakata,m
Anthony Shaffer,m
Peter Suschitzky,m
Amy Locane,f
Joe Medjuck,m
Fernando Pérez Unda,m
Michael Dreyer,m
George R. Nelson,m
Alan Baumgarten,m
Francis Kenny,m
Eva Husson,f
Richard Jefferies,m
Pino Donaggio,m
Peter Heller,m
Bob Weinstein,m
Sarah Finn,f
Jerry Bruckheimer,m
Harvey Rosenstock,m
Francis Ford Coppola,m
Steve Martin,m
Alison R. Rosenzweig,f
Thérèse DePrez,f
Scott Bushnell,m
Sofia Coppola,f
Callum McDougall,m
Chris Boardman,m
David M. Thompson,m
Ian Fleming,m
Carter Burwell,m
Franz Waxman,m
Scott Derrickson,m
Garrison Keillor,m
Dominic Watkins,m
Caity Birmingham,f
W. Steven Graham,m
Scott Rudin,m
David James,m
Dan Fogelman,m
Tony Fanning,m
Alan Heim,m
James L. Berkey,m
Dale Hennesy,m
Liza Chasin,f
Kevin Feige,m
Nira Park,f
Ellen Chenoweth,f
Philippe Rousselot,m
Irving Thalberg,m
Doug Liman,m
Eli Roth,m
Brendan Fletcher,m
Brian Goldner,m
